freq,w1,l1_leg,l1_top,l2,h1,l1_center,Tx_turns,Tx_width,Tx_height,Tx_space_x,Tx_space_y,Tx_preg,Rx_width,Rx_height,Rx_space_x,Rx_space_y,Rx_preg,g2,Tx_layer_space_x,Tx_layer_space_y,wire_diameter,strand_number,Tx_current,Rx_current,magnetizing_current,input_voltage,Lmt,Llt,copperloss_Tx,copperloss_Rx1,copperloss_Rx2,coreloss,magnetizing_copperloss_Tx,magnetizing_copperloss_Rx1,magnetizing_copperloss_Rx2,total_loss,B_center,B_left,Area,Volume
145.0,45.0,2.0,1.4,8.200000000000001,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.6000000000000001,0.17,4.0,0.14,0.1,0.7000000000000001,0.14,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.411282998391409,400.0,70.37723542931802,4.962333582537295,4.612078229717782,3.262196034896012,1.7409519938603073,4.681290665721667,3.280012859995068,2.5883370206739733,2.098421023141872,22.26328782800668,0.0923582550194029,0.2180669049760089,1475.905455905484,6641.574551574679
145.0,45.0,2.0,1.4,8.3,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.6000000000000001,0.05,4.0,0.14,0.1,0.8,0.14,0.42,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.307751735500277,400.0,72.0686616094151,4.875800891326007,4.715792710476436,3.174466132308019,1.7349321290532456,4.502190674575973,3.039663662407163,2.2432674765020497,1.897805241916572,21.30811802723946,0.0959429548403177,0.2108945148724669,1486.2991562991847,6688.346203346331
150.0,45.0,2.0,1.4,8.6,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.5,0.05,4.0,0.14,0.1,1.2000000000000002,0.13,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.2747085337334125,400.0,70.20488914057763,4.693735926902601,4.732232081625827,2.906375690836667,1.4510774654084049,4.893013982020812,3.2486323474738064,2.0001973463504923,1.6230922673068682,20.85462118102288,0.0909873889999071,0.1931191837253508,1517.4802574802864,6828.661158661289
150.0,45.0,2.0,1.4,8.6,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.8,0.5,0.05,4.0,0.14,0.1,1.3,0.13,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.265783549983063,400.0,70.35177364313925,4.688602015602522,4.704700670229137,2.883418751480192,1.314175094435987,4.86071998868793,3.313005289496988,2.058838606002057,1.6219081561593494,20.75676655649164,0.0895899207939478,0.1880981463483412,1537.9202574802862,6920.641158661288
150.0,45.0,2.0,1.4,8.6,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.9,0.5,0.06,4.0,0.14,0.1,1.3,0.13,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.294074483476978,400.0,69.88827042330095,4.688602015602522,4.6458668280885815,2.858464362611954,1.3041893774416051,4.86071998868793,3.313005289496988,2.058838606002057,1.6219081561593494,20.662992608488462,0.0854648574474377,0.1877708328601084,1540.8402574802865,6933.781158661288
145.0,43.0,2.0,1.4,10.6,1.72,8.0,8.0,0.3535533905932738,0.3535533905932738,0.1,0.4,0.05,4.0,0.14,0.1,3.2,0.17,0.44,0.2,0.2,0.05,25.0,5.656854249492381,15.556349186104049,4.555916980717165,400.0,68.14301126142783,4.732161187891398,5.467870793063959,1.6717934301251791,0.3677525336873808,5.30706296792857,4.052229984089027,0.9483841132990132,0.688390427840649,18.50348425003378,0.1003981123740694,0.2151829577089748,1652.2898628384835,7468.350180029946
145.0,44.0,2.0,1.4,10.5,1.72,8.0,8.0,0.3605551275463989,0.3605551275463989,0.1,0.5,0.05,4.0,0.105,0.1,3.3000000000000003,0.16,0.44,0.2,0.2,0.05,26.0,5.656854249492381,15.556349186104049,4.51957130492126,400.0,68.69100655300953,4.765691750295844,5.0947214933040605,1.7158314123797285,0.4457500131386859,4.941804543258501,3.738280061541456,1.0674818239909278,0.797141427818346,17.801010775431706,0.1002970899472523,0.2229988764094777,1676.4915960451558,7577.742014124105
145.0,44.0,2.0,1.4,10.6,1.71,8.0,8.0,0.3535533905932738,0.3535533905932738,0.1,0.5,0.05,4.2,0.14,0.1,3.3000000000000003,0.12,0.44,0.2,0.2,0.05,25.0,5.656854249492381,15.556349186104049,4.510467247631175,400.0,68.82965446344511,4.655903090928665,5.106622125775714,1.6255504011034898,0.3928238995012558,4.941804543258501,3.8787588975253793,0.9665887738685784,0.6899841786584677,17.602132819691384,0.0976220186418801,0.209393745024067,1692.1298628384836,7631.505681401561
145.0,44.0,2.0,1.4,10.7,1.71,8.0,8.0,0.3605551275463989,0.3605551275463989,0.1,0.5,0.05,4.0,0.14,0.1,3.3000000000000003,0.16,0.44,0.2,0.2,0.05,26.0,5.656854249492381,15.556349186104049,4.51957130492126,400.0,68.69100655300953,4.758468084478501,5.0947214933040605,1.7182297094136878,0.393087685859295,4.941804543258501,3.738280061541456,0.9507197681820156,0.6935133567981262,17.53035661835714,0.0980103779065259,0.2233739993215642,1696.812706300249,7652.625305414122
145.0,44.0,2.0,1.4,10.7,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.5,0.05,4.2,0.14,0.1,3.0,0.12,0.42,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.449919056331882,400.0,69.7661908437163,4.610394837530459,4.616614195200069,1.650889850330998,0.4507481577245907,4.974117633860931,3.6908834287519134,1.07987356625772,0.7987221528071475,17.26184898493337,0.0995828039947965,0.2125941614549657,1709.0279657479991,7690.625845865996
145.0,44.0,2.0,1.4,10.9,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.6000000000000001,0.16,4.0,0.14,0.1,3.5,0.11,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.509749596847735,400.0,68.84060754507166,4.810707487953437,4.5811598445892185,1.513479987457272,0.3660978572092216,4.941804543258501,3.7595160947284,1.0010314720503668,0.6647672960957857,16.827857095388765,0.0866856743713465,0.2155767245138549,1722.7353665354,7752.3091494093
145.0,45.0,2.0,1.4,10.7,1.72,8.0,8.0,0.3605551275463989,0.3605551275463989,0.1,0.6000000000000001,0.12,4.0,0.14,0.1,3.4000000000000004,0.11,0.44,0.2,0.2,0.05,26.0,5.656854249492381,15.556349186104049,4.307027823596045,400.0,72.08077468697063,4.694823057509754,5.060020420595202,1.759948976233144,0.3930956581648323,4.446352332170918,3.508762434256413,0.861799964116516,0.5916421816618136,16.62162196719884,0.0873283931574436,0.1929590115872769,1730.212706300249,7820.561432477126
145.0,45.0,2.0,1.4,10.9,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.6000000000000001,0.17,4.0,0.14,0.1,3.5,0.11,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.294249673891998,400.0,72.29526126778907,4.835135718906868,4.6003087988787055,1.5143355826468896,0.3662309991605177,4.446352332170918,3.5317969337102486,0.8821386000811854,0.6055651149267194,15.946728361575186,0.0876017141430373,0.2022744843045689,1756.5353665353998,7904.409149409299
145.0,44.0,2.0,1.4,11.3,1.7,8.0,8.0,0.4123105625617661,0.4123105625617661,0.1,0.5,0.15,4.0,0.14,0.1,3.9,0.14,0.44,0.2,0.2,0.05,34.0,5.656854249492381,15.556349186104049,4.499930314952304,400.0,68.9908243893396,5.596864565457064,4.560547528600057,1.1054690788293553,0.2765936561072834,4.941804543258501,3.7832894771907615,0.7309279502544106,0.4819921253752825,15.880624359615652,0.0898392603093717,0.2243430836557686,1766.7297273231854,7950.283772954334
145.0,45.0,2.0,1.4,11.3,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.5,0.18,4.0,0.14,0.1,3.9,0.1,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.323429075292919,400.0,71.80733087476551,5.586261178337259,4.616651526750992,1.1060527072945154,0.2818741917705251,4.446352332170918,3.558261839839634,0.6439941217826015,0.439887705517427,15.093074425126613,0.0914584706059848,0.2019065811840288,1798.1101681102025,8091.49575649591
145.0,45.0,2.0,1.4,11.4,1.7,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.6000000000000001,0.13,4.0,0.14,0.1,3.9,0.09,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.283718687639873,400.0,72.47299011928943,5.586261178337259,4.620449652203001,1.108174154666471,0.2877950319447788,4.446352332170918,3.5317969337102486,0.6439941217826015,0.4428145700867572,15.081376796564774,0.0892684834138016,0.1983066740923756,1808.5038685039028,8138.267408267563
145.0,45.0,2.0,1.4,11.4,1.75,8.0,8.0,0.3937003937005905,0.3937003937005905,0.1,0.7000000000000001,0.18,4.0,0.14,0.1,3.9,0.1,0.44,0.2,0.2,0.05,31.0,5.656854249492381,15.556349186104049,4.276991640053495,400.0,72.58697894468108,5.4117861448930205,4.598379164307969,1.12095515658454,0.3023343718533691,4.456915805249831,3.4773136502200286,0.6662330534239062,0.4560021675014432,15.078133369141089,0.0887956850784078,0.2001011685925389,1808.5038685039028,8228.69260169276
145.0,45.0,2.0,1.4,11.4,1.74,8.0,8.0,0.4358898943540674,0.4358898943540674,0.1,0.5,0.18,4.0,0.14,0.1,3.9,0.13,0.44,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.323429075292919,400.0,71.80733087476551,5.586700011542469,4.317002621222516,1.1178727406414366,0.2863995921077686,4.446352332170918,3.55253717455312,0.6645646838085185,0.4625272436823066,14.847256388186585,0.0913505616279811,0.203901461384735,1815.844841617608,8243.935580943938
145.0,45.0,2.0,1.4,11.6,1.7,8.0,8.0,0.4301162633521314,0.4301162633521314,0.1,0.7000000000000001,0.16,4.0,0.14,0.1,3.9,0.11,0.44,0.2,0.2,0.05,37.0,5.656854249492381,15.556349186104049,4.276991640053495,400.0,72.58697894468108,5.421115042027311,4.325667089253548,1.1208608159381117,0.3104386617559474,4.456915805249831,3.415341499704486,0.689351883803575,0.4739018434014193,14.79247759910692,0.0879711164998458,0.1998469672644955,1835.700462349976,8260.65208057489
145.0,45.0,2.0,1.4,12.5,1.72,8.0,8.0,0.4301162633521314,0.4301162633521314,0.1,0.7000000000000001,0.15,4.5,0.14,0.1,3.9,0.13,0.43,0.2,0.2,0.05,37.0,5.656854249492381,15.556349186104049,4.25412082175643,400.0,72.97721788610617,5.14399546047019,4.205783363140066,0.921692134213992,0.2826880224626307,4.467932053864936,3.3998261608688063,0.6875186499848045,0.4644063983095466,14.429846782844784,0.0882753254770445,0.2049388964527064,1948.0715087201445,8805.283219415052
145.0,45.0,2.0,1.4,12.5,1.75,8.0,8.0,0.4301162633521314,0.4301162633521314,0.1,0.7000000000000001,0.15,4.5,0.14,0.1,3.9,0.11,0.43,0.2,0.2,0.05,37.0,5.656854249492381,15.556349186104049,4.25412082175643,400.0,72.97721788610617,5.102761000135649,4.213202683394807,0.9150718806464548,0.2795597451465798,4.467932053864936,3.3998261608688063,0.6902459426479829,0.4628770254604775,14.428715492030046,0.0882753254770445,0.1976399046078625,1948.0715087201445,8863.725364676659
145.0,45.0,2.0,1.4,13.1,1.73,8.0,8.0,0.4358898943540674,0.4358898943540674,0.2,0.6000000000000001,0.14,5.300000000000001,0.175,1.4,4.0,0.16,0.45,0.4,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.465043583935697,400.0,69.52987048997439,4.828122720293764,3.99678742132471,0.7077313723760695,0.200411838763661,4.502297295705591,3.78104338767144,0.6930004153688427,0.4237300325268397,14.305001763737154,0.0941750603696224,0.2334893086010015,2126.954969821627,9635.10601329197
145.0,43.0,2.1,1.4,13.4,1.92,8.0,8.0,0.4527692569068708,0.4527692569068708,1.2000000000000002,0.8,0.13,5.2,0.175,1.2000000000000002,3.9,0.16,0.44,0.2,0.2,0.05,41.0,5.656854249492381,15.556349186104049,4.477787770884327,400.0,69.3319822216201,4.614464580421641,3.719036692856564,0.7865863703611994,0.2513542468202027,4.793365935893973,3.4639050683820933,0.7332234309039146,0.4509489381013655,14.198420683319313,0.0798031877690656,0.2223321024460254,2092.89000509684,9878.440824057088
145.0,45.0,2.0,1.4,13.4,1.83,8.0,8.0,0.4358898943540674,0.4358898943540674,1.2000000000000002,0.7000000000000001,0.11,5.1000000000000005,0.175,1.4,3.9,0.13,0.46,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.513242185738103,400.0,68.78733499039292,4.719734810031752,3.93273324584205,0.8134997035080863,0.2479699551643756,4.3788163663566895,3.701543851111692,0.6907975785941307,0.4187484297286127,14.184109130305636,0.0835614499703668,0.2268152772054966,2160.362639504689,10002.479020906712
145.0,45.0,2.0,1.4,13.4,1.83,8.0,8.0,0.4358898943540674,0.4358898943540674,1.2000000000000002,0.7000000000000001,0.14,5.2,0.175,1.4,3.9,0.15,0.46,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.513242185738103,400.0,68.78733499039292,4.5771303673126384,3.907358293055639,0.8025959404687093,0.2403919172846231,4.353498523664217,3.6938273146548624,0.6895881735654518,0.408004949439228,14.095265112132733,0.0804881129168599,0.2295093520439406,2164.242639504689,10020.443420906711
145.0,45.0,2.0,1.4,13.4,1.92,8.0,8.0,0.4358898943540674,0.4358898943540674,1.0,0.7000000000000001,0.16,5.2,0.175,1.4,3.9,0.16,0.45,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.400244527524352,400.0,70.55378404113519,4.653644802165545,3.869347482596885,0.7910664639402485,0.2394412360841691,4.446287872838545,3.594283218585808,0.6595681341049755,0.3880019189979308,13.987996327148563,0.0812923375073317,0.2313752471482942,2156.482639504689,10178.598058462134
145.0,45.0,2.0,1.4,13.4,1.92,8.0,8.0,0.4358898943540674,0.4358898943540674,1.2000000000000002,0.8,0.13,5.2,0.175,1.2000000000000002,3.9,0.17,0.46,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.504597885474242,400.0,68.91933753382199,4.6540077088336655,3.743148765880615,0.8050884554883104,0.2468908888292434,4.353498523664217,3.5666147564096846,0.7085209845561852,0.4482369824005091,13.871999357228765,0.0804098344752814,0.2261884712670157,2156.4826395046894,10178.598058462136
145.0,70.0,2.0,1.4,11.8,1.74,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.12,4.0,0.175,0.7000000000000001,3.9,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.380609818158906,400.0,70.8700192462287,5.308306468958285,4.6138394072454245,1.0114225011119675,0.3564601752978507,3.1137947439475457,3.5489812766010616,0.7065337730356773,0.4430935075941897,13.794125384833718,0.0780533009852468,0.2092497441764965,2772.5084011950244,12587.188141425411
145.0,70.0,2.0,1.4,11.9,1.76,8.0,7.0,0.4358898943540674,0.4358898943540674,1.3,1.0,0.07,4.0,0.175,0.9,3.9,0.16,0.5700000000000001,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.313409453817707,400.0,71.9741321678525,5.2488778204372695,4.602121170813748,1.1269772411303138,0.3971516107320894,3.16502610249994,3.393040402622084,0.6619551558837754,0.4471070108097158,13.793378694491668,0.0750395053985683,0.2112820407359632,2834.624291089378,12925.886767367563
145.0,70.0,2.0,1.4,11.9,1.76,8.0,7.0,0.4358898943540674,0.4358898943540674,1.4,1.0,0.08,4.0,0.175,0.9,3.9,0.16,0.5700000000000001,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.30963223517863,400.0,72.03721458851398,5.2488778204372695,4.602121170813748,1.115400138689565,0.388252103995023,3.16502610249994,3.393040402622084,0.6619551558837754,0.442108988023958,13.767904062528094,0.0762773849455631,0.2138954058791873,2838.2042910893783,12942.211567367567
145.0,70.0,2.0,1.4,11.7,1.71,8.0,7.0,0.4062019202317981,0.4062019202317981,1.4,0.9,0.14,4.0,0.175,2.1,3.9,0.16,0.58,0.4,0.2,0.05,33.0,5.656854249492381,15.556349186104049,4.320288142267656,400.0,71.85953619292331,5.366533148786191,4.844808469722949,1.0630240315172548,0.3123238094501727,2.967085976195638,3.442808704050625,0.6182309610613465,0.3474425213640206,13.595724473362008,0.0781452472798571,0.2078011649220663,2872.0377398810283,12952.890206863438
145.0,70.0,2.0,1.4,12.5,1.7,8.0,7.0,0.4183300132670378,0.4183300132670378,0.8,0.8,0.05,4.6000000000000005,0.175,0.1,3.9,0.17,0.58,0.2,0.2,0.05,35.0,5.656854249492381,15.556349186104049,4.382228353886579,400.0,70.84384405659733,5.18119498156469,4.568026480092506,0.8896804624845105,0.3207965744494313,3.0477209484021133,3.6467525125634186,0.6551607549209887,0.4114013526396258,13.539539085552594,0.075858998782235,0.1880031567984169,2900.4910524544016,13052.209736044808
145.0,70.0,2.0,1.4,12.5,1.7,8.0,7.0,0.3872983346207417,0.3872983346207417,0.8,0.9,0.14,4.6000000000000005,0.175,0.4,3.9,0.17,0.58,0.2,0.2,0.05,30.0,5.656854249492381,15.556349186104049,4.316850863362831,400.0,71.91675412230855,5.050331281756829,4.860761365999912,0.8241768901866269,0.3197999551480623,2.9041252969350904,3.5446544370503976,0.608327166943049,0.370031351752944,13.431876464016083,0.0742524781809632,0.205597589719104,2905.8501919048367,13076.325863571765
150.0,70.0,2.0,1.4,12.6,1.71,8.0,7.0,0.4183300132670378,0.4183300132670378,0.4,0.8,0.15,4.6000000000000005,0.175,0.4,3.9,0.18,0.58,0.2,0.2,0.05,35.0,5.656854249492381,15.556349186104049,4.271162994739114,400.0,70.26316698488958,5.134548504700932,4.576303914515483,0.7913680652324869,0.2700352353734441,3.32681042014903,3.448939725067367,0.6243053065619463,0.3727829115662157,13.410545578465976,0.0689310454355165,0.1972583643836765,2912.449382467669,13135.146714929188
145.0,70.0,2.0,1.4,12.6,1.7,8.0,7.0,0.4301162633521314,0.4301162633521314,0.7000000000000001,0.9,0.14,4.6000000000000005,0.175,0.3,3.9,0.17,0.58,0.2,0.2,0.05,37.0,5.656854249492381,15.556349186104049,4.355326507477001,400.0,71.28143012703381,5.022877616192514,4.383218473752204,0.8092838697287268,0.3186743184136321,3.0477209484021133,3.620701659691115,0.6843033982699919,0.4206206076129778,13.28452327587076,0.0752665663973506,0.2096049973424268,2922.081624983496,13149.367312425731
140.0,70.0,2.0,1.4,12.6,1.71,8.0,7.0,0.4358898943540674,0.4358898943540674,0.4,0.9,0.13,4.800000000000001,0.175,0.3,3.9,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.497136259883065,400.0,71.49917701026953,4.911217819478631,4.142607431449317,0.7814981348827464,0.3042418473212259,3.2141609669148328,3.631833979517437,0.7517828001665247,0.4564717765591102,13.282596936811196,0.0748780834575653,0.2089099356877384,2919.4355203498567,13166.654196777854
145.0,70.0,2.0,1.4,12.6,1.7,8.0,7.0,0.4183300132670378,0.4183300132670378,0.8,1.1,0.15,4.6000000000000005,0.175,0.4,3.9,0.18,0.58,0.2,0.2,0.05,35.0,5.656854249492381,15.556349186104049,4.301443860434145,400.0,72.1743470788448,4.897197908848754,4.48546839869519,0.8846670781793531,0.3769265066055051,2.9041252969350904,3.378030030567952,0.6661777397212882,0.4189598448689741,13.114354895573353,0.0739713096996307,0.2079826085323537,2927.3293824676693,13172.982221104512
145.0,70.0,2.0,1.4,12.6,1.7,8.0,7.0,0.4183300132670378,0.4183300132670378,0.8,1.1,0.15,4.6000000000000005,0.175,0.4,3.9,0.18,0.58,0.4,0.2,0.05,35.0,5.656854249492381,15.556349186104049,4.301443860434145,400.0,72.1743470788448,4.903025556416939,4.48546839869519,0.8881588584994403,0.3719715688227585,2.9041252969350904,3.378030030567952,0.6661777397212882,0.4189598448689741,13.112891738110694,0.0779339145040521,0.2079826085323537,2957.089382467669,13306.90222110451
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.1000000000000005,0.175,0.2,3.9,0.16,0.56,0.3,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.340307826784949,400.0,71.52808383941434,4.845482003900463,4.163942220219071,0.7351552409746073,0.29200387321393,3.3306187650268293,3.495751062593079,0.678889491944758,0.4053181856924502,13.101678839664729,0.07851410951023,0.2138633607316109,3013.194969821627,13559.377364197322
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.1000000000000005,0.175,0.7000000000000001,3.9,0.16,0.56,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.3233424445976505,400.0,71.80876974274294,4.80004551601689,4.207999428251558,0.7418738988213746,0.2918346905449627,3.173694171388078,3.304010432119487,0.6373112401824901,0.3882719585752608,12.744995819883211,0.0733337247892333,0.2072186813922146,3017.014969821627,13576.56736419732
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.1000000000000005,0.175,0.7000000000000001,3.9,0.16,0.56,0.3,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.3233424445976505,400.0,71.80876974274294,4.80004551601689,4.207999428251558,0.7352125214644257,0.2879983386059072,3.173694171388078,3.304010432119487,0.6373112401824901,0.3882719585752608,12.734498090587206,0.0745178507350411,0.2072186813922146,3032.2949698216275,13645.327364197325
145.0,70.0,2.0,1.4,13.1,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.2,0.9,0.13,5.2,0.175,0.7000000000000001,3.9,0.16,0.56,0.3,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.3233424445976505,400.0,71.80876974274294,4.746430430656069,4.182858929445381,0.7352125214644257,0.2870771353385182,3.1553442149015307,3.304010432119487,0.6369407156530766,0.384300513117695,12.685744462040116,0.0743903140045874,0.2003992771257823,3036.114969821628,13662.517364197323
145.0,70.0,2.0,1.4,13.1,1.74,8.0,7.0,0.4358898943540674,0.4358898943540674,1.3,0.9,0.12,5.1000000000000005,0.175,0.2,4.0,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.310532169801919,400.0,72.02217496439803,5.092972579511836,4.126989657692376,0.7795695757850228,0.2722439115027635,2.8878386626684747,3.3770838643331453,0.6524459525521512,0.3907035329450852,12.486875157479018,0.0768248489015198,0.2133785909677581,3039.934969821627,13801.304762990188
145.0,70.0,2.0,1.4,13.2,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,1.6,0.9,0.14,5.1000000000000005,0.175,1.2000000000000002,4.1000000000000005,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.286753439512896,400.0,72.4216837995742,5.093701785143346,4.210268727374904,0.7580498432621835,0.2441862854498371,2.8878386626684747,3.3770838643331453,0.61227961620893,0.361383357983076,12.451090357280552,0.0714149722640538,0.2044084121327618,3105.7708597159813,13975.968868721917
145.0,70.0,2.0,1.4,13.2,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,1.6,0.9,0.14,5.2,0.175,1.2000000000000002,4.1000000000000005,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.286753439512896,400.0,72.4216837995742,5.03659234803062,4.185114670745618,0.7580498432621835,0.2434052212079497,2.8711414918201106,3.3770838643331453,0.6110211086916186,0.3576869429734312,12.403503143034058,0.0712927460863237,0.2003544200183821,3109.6108597159814,13993.248868721916
145.0,70.0,2.0,1.4,13.2,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.5,0.9,0.15,5.2,0.175,2.4000000000000004,4.1000000000000005,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.318475990527344,400.0,71.8896904380449,4.917996416877167,4.20971659462795,0.7141774235833215,0.2217287261094677,2.8711414918201106,3.3746973271202805,0.589676089804049,0.3367481131563238,12.317885766221504,0.0676702097973623,0.2019633246340563,3113.4508597159816,14010.528868721916
145.0,70.0,2.0,1.4,13.2,1.7,8.0,7.0,0.4358898943540674,0.4358898943540674,0.5,0.9,0.14,5.2,0.175,2.5,4.1000000000000005,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.318475990527344,400.0,71.8896904380449,4.917996416877167,4.20971659462795,0.7120432012381549,0.2217287261094677,2.8711414918201106,3.3746973271202805,0.589676089804049,0.3377082507752299,12.31671168149524,0.0679904053018281,0.2001948150302974,3117.2908597159817,14027.808868721915
145.0,70.0,2.0,1.4,13.2,1.73,8.0,7.0,0.4358898943540674,0.4358898943540674,0.4,0.9,0.14,5.2,0.175,2.7,4.1000000000000005,0.16,0.58,0.4,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.3111466958434965,400.0,72.01190866978797,4.809678719807152,4.235225007546536,0.6958905945421501,0.2171130472544756,2.8711414918201106,3.3746973271202805,0.5645199565240511,0.3292513204342506,12.287838745241856,0.0724627499270179,0.198306163953253,3151.8508597159816,14277.884394513398
145.0,70.0,2.0,1.5,13.3,1.67,8.0,7.0,0.4358898943540674,0.4358898943540674,0.4,0.9,0.11,5.2,0.175,1.3,4.1000000000000005,0.16,0.58,0.2,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.2917729563009335,400.0,72.33698177517745,4.912270017713724,4.138744645619733,0.7450885694958285,0.2446181033686491,2.771265146125205,3.385939790808282,0.6078177043025362,0.3624534989478069,12.25592745866804,0.0747550430052848,0.1943447950404258,3083.346749610336,14399.229320680266
145.0,70.0,2.0,1.5,13.3,1.67,8.0,7.0,0.4358898943540674,0.4358898943540674,0.4,0.9,0.12,5.2,0.175,1.2000000000000002,4.1000000000000005,0.16,0.58,0.3,0.2,0.05,38.0,5.656854249492381,15.556349186104049,4.2917729563009335,400.0,72.33698177517745,4.912270017713724,4.138744645619733,0.7383983272138904,0.2423307907964623,2.771265146125205,3.385939790808282,0.6078177043025362,0.356687871914679,12.241184276780787,0.0752122898848718,0.1935002609523421,3094.926749610336,14453.307920680269
